hostname,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2,distance_pc,model_G,model_BP,model_RP,model_H,model_g,model_r,model_i,model_z
K2-220,0.91,1000000.0,0.5,3.0,289.14797422414097,4.840000000000001,293.98797422414094,231.421585083008,6.729496360762356,8.17576427755944,5.34765741092192,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-203,0.793,1000000.0,0.5,3.0,249.7131429403467,6.693485679012346,256.406628619359,168.469589233398,7.0428810353920746,8.547844624726515,5.624096091647493,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-218,1.047488,1000000.0,0.5,3.0,179.9967988443739,1.0,180.9967988443739,385.235321044922,6.426893453624541,7.825654056772908,5.077598176250948,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-4638,1.02,1000000.0,0.5,3.0,494.6216027799638,0.0,494.6216027799638,169.788589477539,6.4849412437055,7.891950263028242,5.128985163199628,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-3980,1.24,4700000000.000006,0.5,3.0,6.822334912377166,1.557504,8.379838912377167,494.83056640625,5.834732265671159,6.923533018835524,4.752471118647533,1.0397374184201182,13.24874144392733,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-219,1.0215450081927464,1000000.0,0.5,3.0,199.95868188018363,2.190400000000001,202.14908188018364,322.978851318359,6.481890581665136,7.888420729883716,5.126307946002169,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-5301,1.4830000078699872,1000000.0,0.3682462946100244,0.8815352667980548,125.92726773005836,28.539672559896157,154.46694028995452,586.514221191406,4.047720570684023,4.8193768700491795,3.1768579299994633,0.5272611166665216,7.05246359060339,0.766453488007325,0.6087498728915156,0.44608003202475777
HAT-P-28,1.0250000049578822,1000000.0,0.5,3.0,164.88592902499215,12.6145,177.50042902499214,401.219512939453,6.474756954123085,7.880229984252951,5.12002088510209,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
EPIC 220674823,0.9130000103488066,1000000.0,0.5,3.0,227.32819252519778,7.595087562500002,234.92328008769778,242.447601318359,6.7225444057464765,8.167571973437276,5.341501596583435,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-213,1.069596,1000000.0,0.5,2.574028271416119,204.4750656624335,1.0,205.4750656624335,393.419677734375,6.048180411526154,7.33514316272321,4.78485338669877,0.9633450948789501,9.071269240871388,2.237436030327732,1.722774720061468,1.2464831428200347
K2-283,0.89,1000000.0,0.5,3.0,221.5868763830125,0.7743999999999999,222.3612763830125,400.939453125,6.778035044058072,8.23344071725168,5.390482904438899,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-282,0.9399999937992313,1000000.0,0.5,3.0,192.2382643380942,8.526399999999999,200.7646643380942,485.079040527344,6.659782637432632,8.094619245287559,5.285516210548982,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-1472,0.8699999988840815,3099999968.8843975,0.5,3.0,34.11841100014008,0.8464000000000059,34.96481100014008,121.546607971191,8.341322781788739,9.611737641609894,7.090285190468453,1.0397374184201182,13.069421373775837,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-148,0.65,4999999999.999999,0.5,3.0,62.48766079284944,5.9536,68.44126079284943,123.868576049805,10.456802362006032,12.224262476029782,8.883713395803184,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-209,0.74479,1000000.0,0.5,3.0,288.22314926926634,5.017600000000001,293.24074926926636,76.2502517700195,7.21200952777775,8.757987561878817,5.767431911968101,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-2420,1.158000283192855,5299999919.589073,0.5,3.0,1.4007022311707287,1.2856968403606134e-12,1.4007022311720143,438.834991455078,6.319916795110364,7.425031694037125,5.220236534414111,1.0397374184201182,13.30119971711608,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-214,1.03,1000000.0,0.5,2.6446718242888423,206.74551302539666,3.3856,210.13111302539667,307.033599853516,6.1836343958928035,7.499355235787869,4.898289349844337,0.9760197295566779,9.155481368268944,2.2988184571473282,1.76890294891455,1.27948202040208
HATS-68,1.3509999650094733,3019999947.197566,0.48169769761336734,3.0,4.724484320084578,1.181114222214727,5.905598542299305,596.148132324219,5.676311770703897,6.731284054602545,4.629256197718316,1.0214351160334858,13.057121081557598,2.6075461645047113,1.999704385295919,1.4441955247064748
K2-205,0.951027,1000000.0,0.37167831178683086,3.0,251.20157559911883,6.384279833309772,257.5858554324286,396.471862792969,6.61690278161201,8.027516272540673,5.257890036693238,0.9114157302069492,9.57899679369846,2.6075461645047113,1.9924325439703283,1.436923683380884
TOI-261,0.4967279837580536,4999999999.999999,0.21221610225332718,3.0,20.229564544528536,5.057391130126783,25.286955674655317,113.301696777344,11.80954544091682,13.854871195807611,10.114311597243825,0.7519535206734456,13.277845034966587,2.6075461645047113,1.9828205511620691,1.4273116905726249
HATS-71,0.4861,3200000000.0000024,0.5,3.0,108.3657495336775,1.7423999999999995,110.1081495336775,139.786041259766,12.210373171402473,14.419776290913571,10.449782388819647,1.0397374184201182,13.083603854539351,2.6075461645047113,2.000914094274466,1.4454052336850218
HD 6061,1.0269,2400000000.000002,0.5,3.0,20.612073800397066,4.840000000000001,25.452073800397066,67.5534133911133,7.346542649312711,8.495135421809858,6.203579099003404,1.0397374184201182,12.957339571759467,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-3693,0.867,3000000000.000001,0.5,3.0,35.84648995558455,2.9446559999999997,38.791145955584554,174.796661376953,8.36924603352383,9.643474429368924,7.11474589130389,1.0397374184201182,13.05404601745521,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-6651,1.3230000252489247,3709999797.017345,0.49723322989828467,3.0,4.743100029631703,1.185774903373715,5.928874933005418,209.903305053711,5.781291778403853,6.869241988594285,4.699746629649766,1.0369706483184031,13.145890555316344,2.6075461645047113,2.0007312218378233,1.4452223612483788
TOI-2046,1.1299999990939065,450000121.68296504,0.4155549621153807,3.0,14.473761456874522,3.618440351881058,18.09220180875558,284.117218017578,6.90877899547265,7.995384633200697,5.827725013290845,0.955292380535499,12.229339167948202,2.6075461645047113,1.9953326150504442,1.439823754461
K2-281,0.82,1000000.0,0.5,3.0,261.03643495973677,1.2544000000000002,262.29083495973674,464.957885742188,6.967328964479259,8.456897277325972,5.557721075731168,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-222,0.9889999923654029,7099999924.554659,0.27704387922679224,3.0,22.433021980391405,5.60825527887854,28.041277259269947,99.2678527832031,7.063531914241521,8.18035614026318,5.950353464915972,0.8167812976469107,13.427378548218366,2.6075461645047113,1.98617758651584,1.4306687259263957
TOI-1468,0.3527,4999999999.999999,0.5,3.0,133.5254712857907,4.1616,137.6870712857907,24.7127056121826,13.453403552475493,15.967379370749002,11.5981395539606,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-221,1.010842,1000000.0,0.5,3.0,317.42177367155676,2.1904,319.6121736715568,309.170013427734,6.502941450602052,7.912792607855829,5.144774818372042,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
